,restaurant_name,category,pricing_for_2,pricing_level,dining_rating,dining_review_count,locality,district,zipcode,latitude,longitude
0,Rustom's,Parsi,2100,1000-2500,4.9,1885," ITO, New Delhi",Central Delhi,110002,28.638167,77.240472
0,Rustom's,Street Food,2100,1000-2500,4.9,1885," ITO, New Delhi",Central Delhi,110002,28.638167,77.240472
0,Rustom's,North Indian,2100,1000-2500,4.9,1885," ITO, New Delhi",Central Delhi,110002,28.638167,77.240472
0,Rustom's,Desserts,2100,1000-2500,4.9,1885," ITO, New Delhi",Central Delhi,110002,28.638167,77.240472
0,Rustom's,Beverages,2100,1000-2500,4.9,1885," ITO, New Delhi",Central Delhi,110002,28.638167,77.240472
1,Cafe Lota,Cafe,1200,1000-2500,4.9,3748," Pragati Maidan, New Delhi",South East Delhi,110503,28.613429,77.242471
1,Cafe Lota,South Indian,1200,1000-2500,4.9,3748," Pragati Maidan, New Delhi",South East Delhi,110503,28.613429,77.242471
1,Cafe Lota,North Indian,1200,1000-2500,4.9,3748," Pragati Maidan, New Delhi",South East Delhi,110503,28.613429,77.242471
1,Cafe Lota,Beverages,1200,1000-2500,4.9,3748," Pragati Maidan, New Delhi",South East Delhi,110503,28.613429,77.242471
2,Dum-Pukht - ITC Maurya,Mughlai,5000,2500-5000,4.9,1371," ITC Maurya, Chanakyapuri, New Delhi",South East Delhi,110021,28.5982003,77.17366073
2,Dum-Pukht - ITC Maurya,North Indian,5000,2500-5000,4.9,1371," ITC Maurya, Chanakyapuri, New Delhi",South East Delhi,110021,28.5982003,77.17366073
2,Dum-Pukht - ITC Maurya,Desserts,5000,2500-5000,4.9,1371," ITC Maurya, Chanakyapuri, New Delhi",South East Delhi,110021,28.5982003,77.17366073
3,Burma Burma,Asian,1600,1000-2500,4.9,2636," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49446439,77.08853245
3,Burma Burma,Burmese,1600,1000-2500,4.9,2636," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49446439,77.08853245
3,Burma Burma,Bubble Tea,1600,1000-2500,4.9,2636," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49446439,77.08853245
3,Burma Burma,Desserts,1600,1000-2500,4.9,2636," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49446439,77.08853245
3,Burma Burma,Salad,1600,1000-2500,4.9,2636," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49446439,77.08853245
4,The Big Chill,Continental,1500,1000-2500,4.9,6487," Khan Market, New Delhi",Central Delhi,110003,28.60035007,77.22749334
4,The Big Chill,American,1500,1000-2500,4.9,6487," Khan Market, New Delhi",Central Delhi,110003,28.60035007,77.22749334
4,The Big Chill,Italian,1500,1000-2500,4.9,6487," Khan Market, New Delhi",Central Delhi,110003,28.60035007,77.22749334
5,Carnatic Cafe,South Indian,600,500-1000,4.9,2518," Lodhi Colony, New Delhi",Central Delhi,110003,28.584296,77.226613
6,"Cocktails & Dreams, Speakeasy",Nepalese,2500,1000-2500,4.9,1299,"Sector 15, Gurgaon",South West Delhi,122022,28.45797541,77.0446267
6,"Cocktails & Dreams, Speakeasy",Tibetan,2500,1000-2500,4.9,1299,"Sector 15, Gurgaon",South West Delhi,122022,28.45797541,77.0446267
6,"Cocktails & Dreams, Speakeasy",Beverages,2500,1000-2500,4.9,1299,"Sector 15, Gurgaon",South West Delhi,122022,28.45797541,77.0446267
7,Natural Ice Cream,Ice Cream,400,0-500,4.9,4014," Connaught Place, New Delhi",Central Delhi,110001,28.63444917,77.22203437
7,Natural Ice Cream,Desserts,400,0-500,4.9,4014," Connaught Place, New Delhi",Central Delhi,110001,28.63444917,77.22203437
8,Kuremal Mohan Lal Kulfi Wale,Ice Cream,200,0-500,4.9,1120," Chawri Bazar, New Delhi",Central Delhi,110006,28.64766195,77.22699109
8,Kuremal Mohan Lal Kulfi Wale,Desserts,200,0-500,4.9,1120," Chawri Bazar, New Delhi",Central Delhi,110006,28.64766195,77.22699109
9,Juggernaut,South Indian,700,500-1000,4.8,2480," Kailash Colony, New Delhi",South East Delhi,110048,28.55293914,77.24094898
9,Juggernaut,North Indian,700,500-1000,4.8,2480," Kailash Colony, New Delhi",South East Delhi,110048,28.55293914,77.24094898
9,Juggernaut,Fast Food,700,500-1000,4.8,2480," Kailash Colony, New Delhi",South East Delhi,110048,28.55293914,77.24094898
9,Juggernaut,Desserts,700,500-1000,4.8,2480," Kailash Colony, New Delhi",South East Delhi,110048,28.55293914,77.24094898
9,Juggernaut,Beverages,700,500-1000,4.8,2480," Kailash Colony, New Delhi",South East Delhi,110048,28.55293914,77.24094898
10,Comorin,North Indian,2500,1000-2500,4.8,803," Two Horizon Center, Golf Course Road, Gurgaon",Faridabad,122009,28.45154524,77.0971011
10,Comorin,Desserts,2500,1000-2500,4.8,803," Two Horizon Center, Golf Course Road, Gurgaon",Faridabad,122009,28.45154524,77.0971011
10,Comorin,Beverages,2500,1000-2500,4.8,803," Two Horizon Center, Golf Course Road, Gurgaon",Faridabad,122009,28.45154524,77.0971011
11,Viet:Nom,Vietnamese,2000,1000-2500,4.8,1381," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49569519,77.08890092
11,Viet:Nom,Beverages,2000,1000-2500,4.8,1381," Cyber Hub, DLF Cyber City, Gurgaon",Faridabad,122008,28.49569519,77.08890092
12,Cafeteria & Co.,Cafe,1300,1000-2500,4.8,5228," Vijay Nagar, New Delhi",North Delhi,110009,28.69448281,77.2042758
12,Cafeteria & Co.,Continental,1300,1000-2500,4.8,5228," Vijay Nagar, New Delhi",North Delhi,110009,28.69448281,77.2042758
12,Cafeteria & Co.,Italian,1300,1000-2500,4.8,5228," Vijay Nagar, New Delhi",North Delhi,110009,28.69448281,77.2042758
12,Cafeteria & Co.,Fast Food,1300,1000-2500,4.8,5228," Vijay Nagar, New Delhi",North Delhi,110009,28.69448281,77.2042758
12,Cafeteria & Co.,Oriental,1300,1000-2500,4.8,5228," Vijay Nagar, New Delhi",North Delhi,110009,28.69448281,77.2042758
12,Cafeteria & Co.,Beverages,1300,1000-2500,4.8,5228," Vijay Nagar, New Delhi",North Delhi,110009,28.69448281,77.2042758
13,Sana-Di-Ge,Mangalorean,2200,1000-2500,4.8,2038," Chanakyapuri, New Delhi",South East Delhi,110021,28.60191756,77.18709189
13,Sana-Di-Ge,Seafood,2200,1000-2500,4.8,2038," Chanakyapuri, New Delhi",South East Delhi,110021,28.60191756,77.18709189
13,Sana-Di-Ge,Goan,2200,1000-2500,4.8,2038," Chanakyapuri, New Delhi",South East Delhi,110021,28.60191756,77.18709189
13,Sana-Di-Ge,South Indian,2200,1000-2500,4.8,2038," Chanakyapuri, New Delhi",South East Delhi,110021,28.60191756,77.18709189
13,Sana-Di-Ge,North Indian,2200,1000-2500,4.8,2038," Chanakyapuri, New Delhi",South East Delhi,110021,28.60191756,77.18709189
13,Sana-Di-Ge,Kerala,2200,1000-2500,4.8,2038," Chanakyapuri, New Delhi",South East Delhi,110021,28.60191756,77.18709189
14,Pa Pa Ya,Asian,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
14,Pa Pa Ya,Chinese,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
14,Pa Pa Ya,Thai,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
14,Pa Pa Ya,Japanese,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
14,Pa Pa Ya,Sushi,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
14,Pa Pa Ya,Malaysian,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
14,Pa Pa Ya,Momos,2500,1000-2500,4.8,4077," Select Citywalk Mall, Saket, New Delhi",South Delhi,110017,28.52842842,77.21840534
